run_date,as_of_date,n_oos_trading_days,total_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_orders,closed_trades,open_trades
2026-09-09,2026-09-08,26,-0.23205746349838954,-0.2841394136215466,-0.4266174456356701,3.27239548751357,0.0,72,22,50
2026-09-09,2026-09-09,27,-0.40926183528677507,-0.5267412925693248,-0.7878883569081594,3.27239548751357,0.0,75,25,50
2026-09-10,2026-09-10,28,-1.2488098391495333,-1.597981960690594,-2.2584619722628947,3.27239548751357,0.0,75,25,50
2026-09-11,2026-09-11,29,-0.4557400073543463,-0.5130541473785275,-0.7581123734715379,3.27239548751357,0.0,76,26,50
2026-09-15,2026-09-15,31,-1.193682636953058,-1.2547701488222573,-1.7297991204284269,3.6380815653497307,0.0,80,30,50
2026-09-17,2026-09-17,33,-0.8303929418949048,-0.7920047039854184,-1.1180164911144832,3.6380815653497307,0.0,84,34,50
2026-09-18,2026-09-18,34,-0.5499791725907548,-0.5137500014426384,-0.7286844757584697,3.6065570951386237,0.0,85,36,49
2026-09-22,2026-09-22,36,0.5358108766216183,0.5256823394881018,0.8108392724296307,3.6380815653497307,0.0,92,42,50
